<<<<<<< HEAD
Fichero actualizado a fecha: 2014-10-19 13:52:56
Nombre del Organismo;Descripción;DatosPersonales;Dirección;Calle;CodigoPostal;Localidad;Localidad;SoloClasificar;Teléfono;Telefax oficial;Fax;e-mail;Páginas de internet;Posicion;Información Adicional;Directorio Superior;Identificador Directorio Superior;Identificador;FechaModificacion;Enlace al contenido;
"Biblioteca Pública Municipal de Trespaderne";;"Elena López Valcárcel";;"Plaza Mayor, s/n";"09540";"Trespaderne";"1179297632526";;"947 308 633, 947 308 011 (Ayto.)";"947 308 561";;"biblioteca@trespaderne.com";;"42.818573401893836#-3.3899688720703125#65";;"Burgos";"1284269348748";1193378559869;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaBurgos/es/Plantilla100Detalle/1284212879414/_/1193378559869/DirectorioPadre";
"Biblioteca Auxiliar del Archivo Histórico Provincial de Burgos";;"Juncal Zamorano Rodriguez";;"C/ Antonio de Cabezón, 8";"09004";"Burgos";"1179297447246";;"947 255 623";;"947 265 729";"archivo.burgos@jcyl.es";"http://www.archivoscastillayleon.jcyl.es/web/jcyl/ArchivosCastillaYLeon/es/Plantilla66y33/1259064196585/_/_/_";"42.345445498809944#-3.692607879638672#88";;"Burgos";"1284269348748";1200492359471;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaBurgos/es/Plantilla100Detalle/1284212879414/_/1200492359471/DirectorioPadre";
"Biblioteca de la Universidad de Burgos";;"Director: Fernando Martín Rodríguez";;"Plaza Infanta Doña Elena, s/n";"09001";"Burgos";"1179297447246";;"947 258 000";"947 258 043";;"ububib@ubu.es";"http://www.ubu.es/biblioteca/";"42.3404020384584#-3.728914260864258#88";;"Burgos";"1284269348748";1200492359703;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaBurgos/es/Plantilla100Detalle/1284212879414/_/1200492359703/DirectorioPadre";
"Biblioteca del Monasterio de Santo Domingo de Silos";;;;"C/ Santo Domingo, 2";"09610";"Santo Domingo de Silos";"1179297620427";;"947 390 049, 947 390 068";"947 39 00 33";;"info@bibliotecadesilos.es";"http://www.bibliotecadesilos.es/es/portada/";"41.966893394601335#-3.41949462890625#71";;"Burgos";"1284269348748";1202286007639;20140313;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1202286007639/DirectorioPadre";
"Biblioteca del I.E.S. ""Cardenal López de Mendoza"". Burgos";;;;"Plaza Luis Martín santos, s/n";"09002";"Burgos";"1179297447246";;"947 257 701, 947 260 555";"947 257 649";;"09001682@educa.jcyl.es";"http://www.lopezdemendoza.es/bot.swf";"42.35042512243457#-3.67218017578125#59";;"Burgos";"1284269348748";1202288126767;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaBurgos/es/Plantilla100Detalle/1284212879414/_/1202288126767/DirectorioPadre";
"Biblioteca Pública Municipal de Gumiel de Izán";;"Mª Carmen Reverte Bermejo";;"Calle Santo Domingo de Gúzman, 17";"09370";"Gumiel de Izán";"1182753765297";;"660 266 649, 947 544 111 (Ayuntamiento)";;;"bibliotecagumieldeizan@gmail.com";;"41.770657#-3.6870463#88";;"Burgos";"1284269348748";1284311815620;20140317;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1284311815620/DirectorioPadre";
"Biblioteca Pública Municipal de Sahagún";"Biblioteca Pública Municipal de Sahagún";"Carmen Sofía Cuenca Quintana";"Plaza de Santiago, 13. 24320 Sahagún (León)";"Plaza de Santiago, 13";"24320";"Sahagún";"1179297923354";;"987 782 169, 987 780 001 (Ayto.)";"987 781 000";;;;"42.37114024462831#-5.029860734939575#100";;"León";"1284269349703";1194505199698;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194505199698/DirectorioPadre";
"Biblioteca Pública Municipal de Villablino";"Biblioteca Pública Municipal de Villablino";"Neli Alonso Meléndez";"Plaza Luis Mateo Díez, s/n. 24100 Villablino (León)";"Plaza Luis Mateo Díez, s/n";"24100";"Villablino";"1179298006426";;"987 471 866";;;;;"42.93997008565237#-6.320925951004028#100";;"León";"1284269349703";1194505210036;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194505210036/DirectorioPadre";
"Biblioteca Pública Municipal de Toreno";"Biblioteca Pública Municipal de Toreno";"Pedro Seijas Díez";"C/ Cervantes, 1. 24450 Toreno (León)";"C/ Cervantes, 1";"24450";"Toreno";"1179297958332";;"987 533 062, 987 533 003 (Ayto.)";;;"bibliopmt@terra.es";;"42.69798663201539#-6.512736082077026#100";;"León";"1284269349703";1194505232510;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194505232510/DirectorioPadre";
"Biblioteca Pública Municipal de La Robla";"Biblioteca Pública Municipal de La Robla";"María Teresa Santos Pérez";"C/ Ramón y Cajal, s/n. 24640 La Robla (León)";"C/ Ramón y Cajal, s/n";"24640";"Robla (La)";"1179297920221";;"987 570 439";;;;;"42.80275327368569#-5.628776550292969#94";;"León";"1284269349703";1194505234209;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194505234209/DirectorioPadre";
"Biblioteca Pública Municipal de Villaquilambre";"Biblioteca Pública Municipal de Villaquilambre";"Pedro Carnicero";"C/ La Era, s/n. 24193 Villaquilambre (León)";"C/ La Era, s/n";"24193";"Villaquilambre";"1179298023568";;"987 287 211";;;;;"42.647454561604285#-5.558888912200928#94";;"León";"1284269349703";1194505266907;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194505266907/DirectorioPadre";
"Biblioteca Pública Municipal de Caboalles de Abajo";"Biblioteca Pública Municipal ""Álvarez de la Puerta"" de Caboalles de Abajo";"Dulce Mª López Álvarez";;"Ctra. Degaña, s/n";"24110";"Villablino";"1179298006426";;"987 490 860, 987 471 984 (Ayto.)";;;"bibliobabo@hotmail.com";;"42.95031324538955#-6.39728307723999#94";;"León";"1284269349703";1194591159609;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194591159609/DirectorioPadre";
"Biblioteca Pública Municipal de Benavides de Órbigo";"Biblioteca Pública Municipal de Benavides de Órbigo";"Cristina Castro Rodríguez";;"C/ Conde Luna, 15";"24280";"Benavides";"1179297776587";;"987 370 902, 987 370 003 (Ayto.)";;;"bibliobenavides@gmail.com";;"42.501718626575304#-5.893821716308594#94";;"León";"1284269349703";1194591161073;20140820;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1194591161073/DirectorioPadre";
"Biblioteca Pública Municipal de Cistierna";"Biblioteca Pública Municipal de Cistierna";"Juan Ignacio Álvarez Tascón";"C/ Luis Ameijide, s/n. 24800 Cistierna (León)";"C/ Luis Ameijide, s/n";"24800";"Cistierna";"1179297821881";;"987 700 007, 987 700 002 (Ayto.)";"987 700 009 (Ayto.)";;;;"42.80302091148908#-5.12513279914856#100";;"León";"1284269349703";1194605562453;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194605562453/DirectorioPadre";
"Biblioteca Pública Municipal de Sabero";"Biblioteca Pública Municipal ""Silvino Fernández"" de Sabero";"Juan Manuel Castro Martínez";"Avda. Diez de Enero, 53. 24810 Sabero (León)";"Avda. Diez de Enero, 53";"24810";"Sabero";"1179297922360";;"987 703 122 (Ayto.)";"987 703 123 (Ayto.)";;;;"42.834153452384584#-5.1465582847595215#94";;"León";"1284269349703";1194850940994;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194850940994/DirectorioPadre";
"Biblioteca Pública Municipal de Arganza";"Biblioteca Pública Municipal de Arganza";"Begoña Quintana Ovalle";"C/ del Val, 40. 24546 Arganza (León)";"C/ del Val 40";"24546";"Arganza";"1179297765390";;"987 549 411, 987 546 704 (Ayto.)";;;;;"42.638931214432475#-6.68567419052124#100";;"León";"1284269349703";1194937232814;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194937232814/DirectorioPadre";
"Biblioteca Pública Municipal de Puente Castro";"Biblioteca Pública Municipal de Puente Castro";;"Plaza del Maestro, s/n. 24005 León";"Plaza del Maestro, s/n";"24005";"León";"1179297860755";;"987 212 897, 987 276 998 (Ayto.)";;;"educacion.grdf@aytoleon.com";;"42.58002509546801#-5.5526018142700195#94";;"León";"1284269349703";1213708664304;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1213708664304/DirectorioPadre";
"Biblioteca Pública Municipal de Baltanás";;"María José Valdés Nieto";"C/ Escuelas, nº 2. 34240 Baltanás";"C/ Escuelas, nº 2";"34240";"Baltanás";"1179298060482";;"979 790 049";;;"mj_vn@hotmail.com";;"41.93847616998428#-4.246124625205994#106";;"Palencia";"1284269350265";1194332696008;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaPalencia/es/Plantilla100Detalle/1284212879564/_/1194332696008/DirectorioPadre";
"Biblioteca Pública Municipal de Herrera de Pisuerga";;"Carmen Gutiérrez Rebollo";"C/ Panamá, s/n. 34400 Herrera de Pisuerga";"C/ Panamá, s/n";"34400";"Herrera de Pisuerga";"1179298086424";;"979 140 116";;;"bibliotecaherrera@gmail.com";;"42.59564932998791#-4.334685802459717#94";;"Palencia";"1284269350265";1195196642372;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaPalencia/es/Plantilla100Detalle/1284212879564/_/1195196642372/DirectorioPadre";
"Biblioteca Pública Municipal de Torquemada";;"Emilia Sardón Santoyo";"C/ Jorge Guillén, s/n. 34230 Torquemada";"C/ Jorge Guillén, s/n";"34230";"Torquemada";"1179298129355";;"979 800 116";;;"bibliotecatorquemada@hotmail.com";;"42.03441669531824#-4.318796396255493#100";;"Palencia";"1284269350265";1195196680747;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaPalencia/es/Plantilla100Detalle/1284212879564/_/1195196680747/DirectorioPadre";
"Biblioteca Pública Municipal de Villarramiel";;"Angustias Agüera Pérez";"C/ Isaac Hijosa, nº 5. 34140 Villarramiel";"C/ Isaac Hijosa, nº 5";"34140";"Villarramiel";"1179298152389";;"979 837 502";;;"biblioteca_villarramiel@yahoo.es";;"42.04249650962893#-4.912063479423523#106";;"Palencia";"1284269350265";1195196695889;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaPalencia/es/Plantilla100Detalle/1284212879564/_/1195196695889/DirectorioPadre";
"Biblioteca del Museo de Palencia";;"Begoña Villasur Escudero";"C/ Plaza del Cordón, nº 1. 34001 Palencia";"C/ Plaza del Cordón, nº 1";"34001";"Palencia";"1179298103860";;"979 752 328";"979 700 599";;"vilescbe@jcyl.es";;"42.00976452537869#-4.5351433753967285#94";;"Palencia";"1284269350265";1284141881146;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaPalencia/es/Plantilla100Detalle/1284212879564/_/1284141881146/DirectorioPadre";
"Biblioteca Pública Municipal de Barruecopardo";;"Teresa Iglesias Barahona";;"C/ La Ortiga";"37255";"Barruecopardo";"1179298196974";;"923 507 254";;"923 507 002";"aytobarruecopardo@wanaddo.es";;"41.073010322548555#-6.665225028991699#94";;"Salamanca";"1284269350572";1195686999450;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1195686999450/DirectorioPadre";
"Biblioteca Pública Municipal de Villares de la Reina";;"Samuel Recio";;"Ctra. La Mata, 160";"37184";"Villares de la Reina";"1179298378212";;"923 288 587";;"923 287 103";"cultura@aytovillares.com";;"41.00911504014288#-5.651435852050781#88";;"Salamanca";"1284269350572";1195687073618;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1195687073618/DirectorioPadre";
"Biblioteca Pública Municipal de Peñaranda de Bracamonte";;"María Antonia Moreno Mulas";;"Plaza de España, s/n";"37300";"Peñaranda de Bracamonte";"1179298309252";;"923 54 12 00";;"923 54 16 87";"amoreno@fundaciongsr.es";"http://www.fundaciongsr.es";"40.90131736391921#-5.2002668380737305#88";;"Salamanca";"1284269350572";1195801286556;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1195801286556/DirectorioPadre";
"Biblioteca Pública Municipal de Endrinal";;"Ayuntamiento";;"Plaza de la Iglesia";"37766";"Endrinal";"1179298239516";;"923 150 005";;;;;"40.591144238406095#-5.804085731506348#88";;"Salamanca";"1284269350572";1195801306761;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1195801306761/DirectorioPadre";
"Biblioteca Pública Municipal de Terradillos/El Encinar";;"Sinforiana Casero Izquierdo";;"Trasera de Calle Tormes, s/n";"37190";"Terradillos";"1179298355297";;"923 373 165";;;"biblioteca@ayto.terradillos.com";;"40.88357190912476#-5.584144592285156#88";;"Salamanca";"1284269350572";1195801345670;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1195801345670/DirectorioPadre";
"Biblioteca Pública Municipal de Villavieja de Yeltes";;"Antonia Martín Vázquez";;"Plaza de la Constitución, 4";"37260";"Villavieja de Yeltes";"1179298385052";;"923 519 005";;"923 519 907";"aytovillavieja@telefonica.net";;"40.874648721748194#-6.4675140380859375#88";;"Salamanca";"1284269350572";1195801354417;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1195801354417/DirectorioPadre";
"Fundación Germán Sánchez Ruipérez. Salamanca";;;"C/ Peña Primera,14-16, 37002 Salamanca";"C/ Peña Primera,14-16";"37002";"Salamanca";"1179298323669";;;;;"fgsr.salamanca@fundaciongsr.es";"http://www.fundaciongsr.es/salamanca/";"40.96700220722087#-5.666027069091797#88";;"Salamanca";"1284269350572";1196233333152;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1196233333152/DirectorioPadre";
"Biblioteca Pública Municipal ""Torrente Ballester"" de Salamanca";;"Francisco Alonso Bringas";;"Paseo de los Olivos, 10-22";"37005";"Salamanca";"1179298323669";;"923 282 069";"923 282 835";;"biblio@aytosalamanca.es";"http://bibliotecas.aytosalamanca.es/";"40.97775973412575#-5.654697418212891#88";;"Salamanca";"1284269350572";1207035232999;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1207035232999/DirectorioPadre";
"Taller de Lectura del Barrio Chamberí de Salamanca";;;"C/ Núñez Losada s/n. 37008 Salamanca";"C/ Núñez Losada s/n";"37008";"Salamanca";"1179298323669";;;;;;"http://bibliotecas.aytosalamanca.es/";"40.95277495301265#-5.682806968688965#88";;"Salamanca";"1284269350572";1207035243704;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1207035243704/DirectorioPadre";
"Biblioteca Pública Municipal de Hontanares de Eresma";;"Teresa Pastor Luengo";"C/ Iglesia, s/n. Centro Cultural ""El manantial del Eresma"". 40490 Hontanares de Eresma";"C/ Iglesia, s/n. Centro Cultural ""El manantial del Eresma""";"40490";"Hontanares de Eresma";"1179298451395";;"921 491 100, 921 491 103";"921 491 103";;"bibliohontanares@gmail.com";;"40.98317023669511#-4.202817678451538#94";;"Segovia";"1284269350926";1239801019424;20140313;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1239801019424/DirectorioPadre";
"Biblioteca Pública Municipal de Gomayo";;"Mª Paz de Miguel Gómez";"Centro Cívico. Urbanización Las Camaretas. 42190 Golmayo";"Centro Cívico. Urbanización Las Camaretas";"42190";"Golmayo";"1179469154621";;"975 249 139";;;"bpm.golmayo@gmail.com";;"41.77443225491748#-2.501835823059082#94";;"Soria";"1284269351095";1284145906091;20140313;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1284145906091/DirectorioPadre";
"Biblioteca Pública Municipal de Nava del Rey";;"Inmaculada Martín Rodríguez";;"C/ Hospital";"47500";"Nava del Rey";"1179469268880";;"983 850 691";;;;;"41.329453283914454#-5.082721710205078#88";;"Valladolid";"1284269351464";1193641917948;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaValladolid/es/Plantilla100Detalle/1276515979208/_/1193641917948/DirectorioPadre";
"Biblioteca Pública Municipal de Pedrajas de San Esteban";;"Julio César González Arratia";"C/ Pinar, 1. 47430 Pedrajas de San Esteban (Valladolid)";"C/ Pinar, 1";"47430";"Pedrajas de San Esteban";"1179469271961";;"983 625 013";;;"cultura@pedrajas.org";;"41.3370904443046#-4.582500457763672#88";;"Valladolid";"1284269351464";1193641919689;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaValladolid/es/Plantilla100Detalle/1276515979208/_/1193641919689/DirectorioPadre";
"Biblioteca Pública Municipal ""Blas Pajarero""";;"Carmen Lourdes López del Amo";"Centro Cívico Delicias, Pº de Juan Carlos I, 20. 47013 Valladolid";"Centro Cívico Delicias, Pº de Juan Carlos I, 20";"47013";"Valladolid";"1179469311668";;"983 130 555";;;"bmbp@ava.es";;"41.637063539200525#-4.718284606933594#88";;"Valladolid";"1284269351464";1202286545838;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaValladolid/es/Plantilla100Detalle/1276515979208/_/1202286545838/DirectorioPadre";
"Biblioteca Pública Municipal ""Santiago de los Mozos"". Centro Cívico Parquesol";;;;"C/ Eusebio González Suárez, 69";"47014";"Valladolid";"1179469311668";;"983 132 018";;;"bmsm@ava.es";;"41.63366365063957#-4.760942459106445#76";;"Valladolid";"1284269351464";1202286549517;20140313;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1202286549517/DirectorioPadre";
"Punto de Préstamo Barrio de San Juan. Valladolid";;;;"Centro Cívico Bailarín Vicente Escudero. C/ Travesía de Verbena, 1";"47005";"Valladolid";"1179469311668";;"983 130 438";;;"ccbve@ava.es";;"41.652713542916#-4.715967178344727#88";;"Valladolid";"1284269351464";1202286699847;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaValladolid/es/Plantilla100Detalle/1276515979208/_/1202286699847/DirectorioPadre";
"Punto de Préstamo Barrio Belén. Valladolid";;;;"C/ Plaza de las Nieves, 14";"47011";"Valladolid";"1179469311668";;"983 266 390";;;;;"41.658966067496216#-4.706783294677734#88";;"Valladolid";"1284269351464";1202286707970;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaValladolid/es/Plantilla100Detalle/1276515979208/_/1202286707970/DirectorioPadre";
"Biblioteca Histórica de Santa Cruz. Valladolid";;"Pilar Rodríguez Marín";"Plaza de Santa Cruz, 8. 47002 Valladolid";"Plaza de Santa Cruz, 8";"47002";"Valladolid";"1179469311668";;"983 184 271";"983 423 234";;"biblioteca.historica@uva.es";"http://www.bhsc.uva.es/";"41.65148701496365#-4.720194339752197#106";;"Valladolid";"1284269351464";1202287835560;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaValladolid/es/Plantilla100Detalle/1276515979208/_/1202287835560/DirectorioPadre";
"Biblioteca del Centro Asociado de la UNED en Zamora";;"Juan Andrés Blanco";"C/ San Torcuato, 43. Colegio Universitario. 49014 Zamora";"C/ San Torcuato, 43. Colegio Universitario";"49014";"Zamora";"1179469491795";;"980 528 399";"980 512 181";;"biblioteca@zamora.uned.es";"http://www.uned.es/ca-zamora";"41.507621201682404#-5.743719935417175#94";;"Zamora";"1284269351631";1197282411668;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaZamora/es/Plantilla100Detalle/1284212879708/_/1197282411668/DirectorioPadre";
"Biblioteca Pública Municipal. Centro Cultural de Alcañices";"Biblioteca Pública Municipal. Centro Cultural ""San Francisco"" de Alcañices";"Yolanda Cerezal Gallego";;"C/ San Francisco, 30";"49500";"Alcañices";"1179469330041";;"980 680 368 (Btca.), 980 680 001 (Ayto.)";;"980 680 236 (Ayto.)";"BPM.ALCAN@gmail.com";;"41.69957665997156#-6.346235275268555#88";;"Zamora";"1284269351631";1203344029986;20140825;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1203344029986/DirectorioPadre";
"Biblioteca Pública Municipal de Bermillo de Sayago";"Biblioteca Pública Municipal de Bermillo de Sayago";"Argentina Laguna Álvarez";"C/ Las Castañas, s/n (edificio antigua cárcel). 49200 Bermillo de Sayago (Zamora)";"C/ Las Castañas, s/n (edificio antigua cárcel)";"49200";"Bermillo de Sayago";"1179469339571";;"980 610 007 (Ayto.)";;"980 610 326 (Ayto.)";"BPM.BERMI@gmail.com";;"41.36659948983986#-6.110415458679199#88";;"Zamora";"1284269351631";1203344045480;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaZamora/es/Plantilla100Detalle/1284212879708/_/1203344045480/DirectorioPadre";
"Biblioteca Pública Municipal de Morales de Toro";"Biblioteca Pública Municipal de Morales de Toro";;;"Plaza la Paz, s/n";"49810";"Morales de Toro";"1179469399675";;"980 698 003 (Ayto.), 980 695 060 (Ayto.)";;"980 698 003 (Ayto.)";"BPM.MTORO@gmail.com";;"41.5369484333286#-5.308327674865723#88";;"Zamora";"1284269351631";1203344053793;20140825;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1203344053793/DirectorioPadre";
