<<<<<<< HEAD
<<<<<<< HEAD
description,name,grade,address,phone,informatio,blklot,geometry
,Mercy High School,9 - 12,3250 19th Avenue,415/334-0525,Catholic; all girls,7231003,"<Point><coordinates>-122.473589,37.7295</coordinates></Point>"
,Rivendell School,K - 5,4501 Irving Street,415/566-7454,<Null>,1801052,"<Point><coordinates>-122.506305,37.762028</coordinates></Point>"
,Mother Goose School,PK - 2,334 28th Avenue,415/221-6133,<Null>,1406035,"<Point><coordinates>-122.487839,37.783022</coordinates></Point>"
,Russian-American International School,K - 4,1250 Quintara Street,415/837-0901,<Null>,2141008A,"<Point><coordinates>-122.479099,37.74876</coordinates></Point>"
,Sacred Heart Cathedral Preparatory,9 - 12,1055 Ellis Street,415/775-6626,Catholic,0737001,"<Point><coordinates>-122.423188,37.783287</coordinates></Point>"
,St. Anne School,K - 8,1320 14th Avenue,415/664-7977,Catholic; Chinese language classes offered,1768026,"<Point><coordinates>-122.471095,37.76341</coordinates></Point>"
,St. Brigid School,K - 8,2250 Franklin Street,415/673-4523,Catholic,0595013,"<Point><coordinates>-122.422326,37.794657</coordinates></Point>"
,St. Elizabeth School,K - 8,450 Somerset Street,415/468-3247,Catholic,6044007,"<Point><coordinates>-122.407667,37.725689</coordinates></Point>"
,St. Finn Barr School,K - 8,419 Hearst Avenue,415/333-1800,Catholic,3121037,"<Point><coordinates>-122.447411,37.730445</coordinates></Point>"
,St. Ignatius College Preparatory,9 - 12,2001 37th Avenue,415/731-7500,Catholic,2094006,"<Point><coordinates>-122.496384,37.746924</coordinates></Point>"
,St. Monica School,K - 8,5920 Geary Boulevard,415/751-9564,Catholic,1455017,"<Point><coordinates>-122.483068,37.780498</coordinates></Point>"
,St. Thomas the Apostle School,K - 8,3801 Balboa Street,415/221-2711,Catholic,1605001,"<Point><coordinates>-122.499773,37.775097</coordinates></Point>"
,St. Vincent de Paul School,K - 8,2350 Green Street,415/346-5505,Catholic,0538007,"<Point><coordinates>-122.437854,37.796112</coordinates></Point>"
,Sts. Cyril and Methodius High School,9  - 12,6200 Geary Boulevard,415/752-5122,"Offers program in Orthodox religion, Russian language, literature and history; classes on Tues & Thurs 4:10 - 6:00 pm, Sat 9:00 am - 1:30 pm",1458018,"<Point><coordinates>-122.486024,37.780342</coordinates></Point>"
,San Francisco Adventist School,K - 10,66 Geneva Avenue,415/585-5550,<Null>,6976016,"<Point><coordinates>-122.45119,37.721714</coordinates></Point>"
,San Francisco Chinese Parents Community,PK - 5,843 Stockton Street,415/391-5564,<Null>,0224002,"<Point><coordinates>-122.408182,37.793737</coordinates></Point>"
,San Francisco Christian School,K - 12,25 Whittier Street,415/586-1117,<Null>,6474031,"<Point><coordinates>-122.447754,37.710037</coordinates></Point>"
,San Francisco City Academy,K - 8,302 Eddy Street,415/673-2992,<Null>,0333006,"<Point><coordinates>-122.412942,37.78408</coordinates></Point>"
,San Francisco Day School,K - 8,350 Masonic Avenue,415/931-2422,<Null>,1149029,"<Point><coordinates>-122.446283,37.778042</coordinates></Point>"
,San Francisco Friends School,K - 8,117 Diamond Street,415/552-8500,Info: Accepting applications in K - 2 for 2003; growing to 8th grade,2694028,"<Point><coordinates>-122.436799,37.760124</coordinates></Point>"
,San Francisco University High School,9 - 12,3065 Jackson Street,415/447-3100,<Null>,0982034,"<Point><coordinates>-122.44535,37.790655</coordinates></Point>"
,Muhammad University of Islam,K - 12,5048 3rd Street,415/309-1524,Islamic,5338006,"<Point><coordinates>-122.391768,37.732795</coordinates></Point>"
,Sand Paths Academy,6 - 12,1218 South Van Ness Avenue,415/826-2662,Specialize in education for emotionally disturbed children with learning differences,3762041,"<Point><coordinates>-122.41672,37.753465</coordinates></Point>"
,S.R. Martin College Preparatory,9 - 12,2660 San Bruno Avenue,415/715-0102,<Null>,5982003A,"<Point><coordinates>-122.404095,37.727937</coordinates></Point>"
,Sterne School,5 - 12,2690 Jackson Street,415/922-6081,Education for students with learning difficulties,0585012A,"<Point><coordinates>-122.439357,37.792057</coordinates></Point>"
,The San Francisco School,PK - 8,300 Gaven Street,415/239-5065,<Null>,5847032,"<Point><coordinates>-122.411698,37.73278</coordinates></Point>"
,Cal Fed Youth Chance High,9 - 12,220 Golden Gate Avenue,415/614-0900,,0345004,"<Point><coordinates>-122.414273,37.782099</coordinates></Point>"
,Town School for Boys,K - 8,2750 Jackson Street,415/921-3747,Boys school,0978018,"<Point><coordinates>-122.440129,37.792034</coordinates></Point>"
,Urban School of San Francisco,9 - 12,1563 Page Street,415/626-2919,<Null>,1232032,"<Point><coordinates>-122.446384,37.770749</coordinates></Point>"
,Voice of Pentecost Academy,K - 12,1970 Ocean Avenue,415/334-0105,<Null>,3280018,"<Point><coordinates>-122.463974,37.726364</coordinates></Point>"
,"West Portal Lutheran School (K,4-8)","K, 4 - 8",200 Sloat Boulevard,415/665-6330,"K, 4-8 campus",2540004B,"<Point><coordinates>-122.473452,37.735356</coordinates></Point>"
,Woodside International School,6 - 12,1555 Irving Street,415/564-1063,<Null>,1771041,"<Point><coordinates>-122.474748,37.763432</coordinates></Point>"
,Youth Chance High School,9 - 12,25 14th Street,415/861-1632,Info: Alternative high school program sponsored by the Downtown YMCA,3550012,"<Point><coordinates>-122.414142,37.768336</coordinates></Point>"
,Zion Lutheran School,K - 8,495 09th Avenue,415/221-7500,<Null>,1535016,"<Point><coordinates>-122.467595,37.779218</coordinates></Point>"
,Convent of the Sacred Heart High School,9-12,2222 Broadway,415/563-2900,Catholic; girls school; part of Schools of the Sacred Heart,0564070,"<Point><coordinates>-122.43396,37.794865</coordinates></Point>"
,Open Book School,9 - 11,1832 Buchanan Street,415/563-6747,,0675051,"<Point><coordinates>-122.429854,37.786982</coordinates></Point>"
,Montessori House Of Children,K - 2,1187 Franklin Street,415/441-7691,,0713034,"<Point><coordinates>-122.423414,37.785047</coordinates></Point>"
,French-American International School,PK-12,150 Oak Street,415/558-2000,Offers programs of study in French and English; Shares campus with Chinese-American International School.,0833003,"<Point><coordinates>-122.421832,37.775381</coordinates></Point>"
,Walden High Academy,8 - 12,214 Haight Street,415/252-7253,,0851029,"<Point><coordinates>-122.426145,37.77294</coordinates></Point>"
,Cow Hollow Kindergarten,K,2521 Scott Street,415/931-0400,,0961002,"<Point><coordinates>-122.440119,37.793323</coordinates></Point>"
,One Fifty Parker Avenue School,K,150 Parker Avenue,415/221-0294,,1065035,"<Point><coordinates>-122.454098,37.782818</coordinates></Point>"
,Pacific Primary,K,1500 Grove Street,415/346-0906,,1184009,"<Point><coordinates>-122.441736,37.775657</coordinates></Point>"
,Erikson School,,1155 Page Street,415/920-5020,,1236025,"<Point><coordinates>-122.439704,37.771605</coordinates></Point>"
,Olympia Institute,7 - 12,950 Clement Street,415/221-1218,,1423022,"<Point><coordinates>-122.469526,37.782892</coordinates></Point>"
,Star of the Sea Elementary,K - 8,360 9th Avenue,415/221-8558,Catholic,1440011,"<Point><coordinates>-122.467013,37.781832</coordinates></Point>"
,Challenge To Learning,7 - 12,924 Balboa Street,415/221-9200,,1553019,"<Point><coordinates>-122.468844,37.777262</coordinates></Point>"
,Oakes Children's Center,,1348 10th Avenue,415/564-2310,,1764031,"<Point><coordinates>-122.46699,37.763075</coordinates></Point>"
,Sunset Bible,,1690 21st Avenue,415/564-3040,,1923019,"<Point><coordinates>-122.478584,37.756269</coordinates></Point>"
,Parkside Preschool And Kindergarten,K,2425 19th Avenue,415/564-6250,,2406005,"<Point><coordinates>-122.475988,37.742514</coordinates></Point>"
,Edgewood Center For Children and Families,,1801 Vicente Street,415/681-3211,,2468A003,"<Point><coordinates>-122.486256,37.737985</coordinates></Point>"
,Eureka Learning Center,K,464 Diamond Street,415/648-0380,,2768011,"<Point><coordinates>-122.437008,37.754966</coordinates></Point>"
,Holy Family Day Home,K,299 Dolores Street,415/565-504,,3556025,"<Point><coordinates>-122.425842,37.764926</coordinates></Point>"
,Rise Institute,,1760 Cesar Chavez,415/641-1878,,4288006,"<Point><coordinates>-122.39495,37.750466</coordinates></Point>"
,Joshua Marie Cameron Academy - Whitney,6 - 9,100 Whitney Yound Circle,415/642-1134,,4711006,"<Point><coordinates>-122.384213,37.73404</coordinates></Point>"
,Joshua Marie Cameron Academy - Plaza Campus,9 -12,3801 Third Street,415/642-1134,,5235012,"<Point><coordinates>-122.387432,37.74194</coordinates></Point>"
,Living Hope Christian,K - 12,1209 Geneva Avenue,415/586-4320,,6404017,"<Point><coordinates>-122.435828,37.714337</coordinates></Point>"
,Lakeside Presbyterian Center For Children,PK-K,201 Eucalyptus Drive,415/564-5044,Early Childhood Program/Day Care Center,7295001,"<Point><coordinates>-122.47528,37.730674</coordinates></Point>"
,St. Thomas More School,K-8,50 Thomas More Way,415/337-0100,Catholic,7380010,"<Point><coordinates>-122.473568,37.712567</coordinates></Point>"
,St. Stephen's School,K-8,401 Eucalyptus Drive,415/664-8331,Catholic,7295011,"<Point><coordinates>-122.477721,37.730662</coordinates></Point>"
,Sacred Heart/Saint Dominic School (5-8),5-8,735 Fell Street,415/621-8035,,0828022A,"<Point><coordinates>-122.430153,37.7747</coordinates></Point>"
,Jewish Community High School for Boys,9 -12,1835 Ellis Street,415/345-9777,,0729046,"<Point><coordinates>-122.436552,37.781354</coordinates></Point>"
,St. John of San Francisco Orthodox Academy,K-12,6210 Geary Boulevard,415/221-3484,Centered around Orthodox calendar and life,1458018,"<Point><coordinates>-122.486024,37.780342</coordinates></Point>"
,Stuart Hall for Boys School,K - 8,2252 Broadway,415/563-2900,Catholic boys school; part of the Schools of the Sacred Heart,0564070,"<Point><coordinates>-122.43396,37.794865</coordinates></Point>"
,The Scandanavian School,PK,20 Woodside Avenue,415/665-3276,Full time immersion preschool with language classes for children and adults.,2888A001,"<Point><coordinates>-122.457905,37.746575</coordinates></Point>"
,The Bay School of San Francisco,9 - 12,35 Keyes Avenue,415/561-5800,"In the Presidio; Independent, co-ed, college preparatory school with a curricular emphasis on science and technology, ethics ...",1300001,"<Point><coordinates>-122.45574,37.800649</coordinates></Point>"
,Hergl School,N/A,1570 Greenwich Street,415/474-0191,"Highly structured, developmentally based program for 10 children who require intensive teaching",0503011,"<Point><coordinates>-122.425722,37.800375</coordinates></Point>"
,Alta Vista School,K - 12,245 Valencia Street,415/437-4700,,3532091,"<Point><coordinates>-122.421816,37.76894</coordinates></Point>"
,Cornerstone Academy Kindergarten,K,1925 Lawton Street,415/665-9747,Babtist,1918048,"<Point><coordinates>-122.483662,37.757418</coordinates></Point>"
,Fei Tian Academy of the Arts California,6 - 12,101 15th Street,415/431-3161,,3937001,"<Point><coordinates>-122.402129,37.767152</coordinates></Point>"
,Megan Furth Academy,k - 8,2445 Pine Street,415/346-9500,Roman Catholic,658001,"<Point><coordinates>-122.435948,37.787471</coordinates></Point>"
,Spectrum Center Inc,6 - 12,95 Gough Street,415/861-5806,,0853020,"<Point><coordinates>-122.422715,37.773784</coordinates></Point>"
,St. Paul's,k - 8,1690 Church Street,415/648-2055,Roman Catholic,6619003,"<Point><coordinates>-122.427105,37.743916</coordinates></Point>"
,Wen Jian Ying,K - 12,259 Judson Avenue,415/586-6987,,3181024,"<Point><coordinates>-122.447567,37.72802</coordinates></Point>"
=======
NAME,TYPE,CHILDREN,ADDRESS,asWKT
Adda Clevenger Junior Preparatory,GIFTED,K - 8,180 Fair Oaks Street,POINT(-122.424465 37.753739)
Brandeis Hillel Day School,JEWISH,K - 8,655 Brotherhood Way,POINT(-122.472212 37.712217)
Childrens Day School,PRESCHOOL,PK- 8,333 Dolores Street,POINT(-122.425708 37.763858)
Convent of Sacred Heart Elementary School,"GIRLS, CATHOLIC",K - 8,2222 Broadway,POINT(-122.43396 37.794865)
Epiphany School,CATHOLIC,1 - 8,600 Italy Avenue,POINT(-122.434533 37.715723)
Hamlin School,GIRLS,K - 8,2120 Broadway Street,POINT(-122.432554 37.795073)
Lisa Hampner Hebrew Academy,JEWISH,PK - 12,645 14th Avenue,POINT(-122.472874 37.776097)
Immaculate Conception Academy,"GIRLS, CATHOLIC",9 - 12,3625 24th Street,POINT(-122.423347 37.751753)
International Christian School,BAPTIST,PK - 8,42 Waller Street,POINT(-122.42423 37.772228)
Laurel School,,PK - 8,350 9th Avenue,POINT(-122.467013 37.781832)
Live Oak School,,K - 8,1555 Mariposa Street,POINT(-122.398929 37.763484)
Meadows-Livingstone School,,1 - 6,1499 Potrero Avenue,POINT(-122.404838 37.749628)
Mission Dolores School,CATHOLIC,K - 8,3371 16th Street,POINT(-122.427713 37.76407)
Our Lady of Visitacion School,CATHOLIC,K - 8,795 Sunnydale Ave,POINT(-122.409412 37.709763)
Presidio Hill School,,K - 8,3839 Washington Street,POINT(-122.45606 37.788584)
St. Anthony-Immaculate Conception School,CATHOLIC,K - 8,299 Precita Avenue,POINT(-122.41425 37.747502)
St. Brendan's School,CATHOLIC,K - 8,940 Laguna Honda Boulevard,POINT(-122.455924 37.742854)
St. Cecilia School,CATHOLIC,K - 8,660 Vicente Street,POINT(-122.47401 37.73995)
St. Charles School,CATHOLIC,K - 8,3250 18th Street,POINT(-122.416443 37.762323)
Stratford School,CATHOLIC,K - 2,301 De Montfort Avenue,POINT(-122.461561 37.723148)
St. Gabriel School,CATHOLIC,K - 8,2550 41st Avenue,POINT(-122.498771 37.739532)
St. James School,CATHOLIC,K - 8,321 Fair Oaks Street,POINT(-122.423768 37.751653)
St. John's School,CATHOLIC,K - 8,925 Chenery Street,POINT(-122.437496 37.734789)
St. Mary's Chinese Day School,CATHOLIC,K - 8,910 Broadway,POINT(-122.412375 37.797475)
Kipp Bayview Academy,,5 - 8,1060 Key Avenue,POINT(-122.396219 37.719517)
St. Peter's School,CATHOLIC,K - 8,1266 Florida Street,POINT(-122.41036 37.7517)
St. Philip's School,CATHOLIC,K - 8,665 Elizabeth Street,POINT(-122.435538 37.751758)
Sts. Peter and Paul Salesian School,CATHOLIC,K - 8,660 Filbert Street,POINT(-122.410437 37.801422)
San Francisco Waldorf School,,K - 12,2938 Washington Street,POINT(-122.441941 37.79091)
Stuart Hall High School,"BOYS, CATHOLIC",9 - 12,1715 Octavia Street,POINT(-122.427294 37.788251)
Synergy School,,K - 8,1387 Valencia Street,POINT(-122.4202 37.750874)
West Portal Lutheran School (1-3),PRESCHOOL,1 - 3,1711 37th Avenue,POINT(-122.496172 37.754918)
Archbishop Riordan High School,CATHOLIC,9 - 12,175 Phelan Avenue,POINT(-122.454277 37.727921)
Bethel Center,ED,9 - 12,2557 Alemany Boulevard,POINT(-122.446511 37.714723)
Cathedral School for Boys,"BOYS, EPISCOPAL",K - 8,1275 Sacramento Street,POINT(-122.413383 37.792008)
Chinese American International School,"BILINGUAL (ENGLISH, CHINESE)",PK - 8,150 Oak Street,POINT(-122.421832 37.775381)
Cornerstone Academy - Campus 1,"PRESCHOOL, BILINGUAL (ENGLISH, CANTONESE)",PK - 4,801 Silver Avenue,POINT(-122.418325 37.729583)
Cornerstone Academy - Campus 2,"BACKGROUND, BILINGUAL (ENGLISH, CANTONESE)",5 - 10,501 Cambridge Street,POINT(-122.416847 37.724953)
Corpus Christi School,CATHOLIC,K - 8,75 Francis Street,POINT(-122.435264 37.727179)
DeMarillac Middle School,"UNDERPRIVILEGED, CATHOLIC",6 - 8,135 Golden Gate Avenue,POINT(-122.413031 37.781666)
Discovery Center School,,K - 8,65 Ocean Avenue,POINT(-122.438326 37.723301)
Drew College Preparatory School,,9 - 12,2901 California Street,POINT(-122.442291 37.78756)
Ecole Notre Dames des Victoires,CATHOLIC,K - 8,659 Pine Street,POINT(-122.406467 37.791117)
Fellowship Academy,,PK - 8,495 Cambridge Street,POINT(-122.41732 37.725719)
Freeman School,SHALOM,K - 8,862 28th Avenue,POINT(-122.486934 37.773382)
Hillwood Academic Day School,,K - 8,2521 Scott Street,POINT(-122.440119 37.793323)
Holy Name School,,K - 8,1560 40th Avenue,POINT(-122.498905 37.757697)
Holy Trinity Orthodox School,,K - 8,999 Brotherhood Way,POINT(-122.482003 37.713867)
Katherine Delmar Burke School,GIRLS,K - 8,7070 California Street,POINT(-122.4934 37.784938)
Katherine Michiels School,"ART, SPANISH, DYSLEXIA",PK - 5,1335 Guerrero Street,POINT(-122.42231 37.749818)
Kittredge School,,1 - 8,2355 Lake Street,POINT(-122.484957 37.785507)
Krouzian Armenian School,CHRISTIAN,PK - 8,825 Brotherhood Way,POINT(-122.478318 37.713841)
La Mel School,ED,K - 12,1801 Bush Street,POINT(-122.427216 37.787503)
Lick Wilmerding High School,,9 - 12,755 Ocean Avenue,POINT(-122.44898 37.722322)
Lycee Francais La Perouse San Francisco,FRENCH,PK - 12,755 Ashbury Street,POINT(-122.446968 37.76797)
Maria Montessori Elementary School,,PK - 6,678 Portola Drive,POINT(-122.453427 37.745055)
Mercy High School,"GIRLS, CATHOLIC",9 - 12,3250 19th Avenue,POINT(-122.473589 37.7295)
Rivendell School,,K - 5,4501 Irving Street,POINT(-122.506305 37.762028)
Mother Goose School,,PK - 2,334 28th Avenue,POINT(-122.487839 37.783022)
Russian-American International School,,K - 4,1250 Quintara Street,POINT(-122.479099 37.74876)
Sacred Heart Cathedral Preparatory,CATHOLIC,9 - 12,1055 Ellis Street,POINT(-122.423188 37.783287)
St. Anne School,"CATHOLIC, BILINGUAL (ENGLISH, CHINESE)",K - 8,1320 14th Avenue,POINT(-122.471095 37.76341)
St. Brigid School,CATHOLIC,K - 8,2250 Franklin Street,POINT(-122.422326 37.794657)
St. Elizabeth School,CATHOLIC,K - 8,450 Somerset Street,POINT(-122.407667 37.725689)
St. Finn Barr School,CATHOLIC,K - 8,419 Hearst Avenue,POINT(-122.447411 37.730445)
St. Ignatius College Preparatory,CATHOLIC,9 - 12,2001 37th Avenue,POINT(-122.496384 37.746924)
St. Monica School,CATHOLIC,K - 8,5920 Geary Boulevard,POINT(-122.483068 37.780498)
St. Thomas the Apostle School,CATHOLIC,K - 8,3801 Balboa Street,POINT(-122.499773 37.775097)
St. Vincent de Paul School,CATHOLIC,K - 8,2350 Green Street,POINT(-122.437854 37.796112)
Sts. Cyril and Methodius High School,"ORTHODOX, BILINGUAL (ENGLISH, RUSSIAN)",9  - 12,6200 Geary Boulevard,POINT(-122.486024 37.780342)
San Francisco Adventist School,,K - 10,66 Geneva Avenue,POINT(-122.45119 37.721714)
San Francisco Chinese Parents Community,,PK - 5,843 Stockton Street,POINT(-122.408182 37.793737)
San Francisco Christian School,,K - 12,25 Whittier Street,POINT(-122.447754 37.710037)
San Francisco City Academy,,K - 8,302 Eddy Street,POINT(-122.412942 37.78408)
San Francisco Day School,,K - 8,350 Masonic Avenue,POINT(-122.446283 37.778042)
San Francisco Friends School,,K - 8,117 Diamond Street,POINT(-122.436799 37.760124)
San Francisco University High School,,9 - 12,3065 Jackson Street,POINT(-122.44535 37.790655)
Muhammad University of Islam,ISLAMIC,K - 12,5048 3rd Street,POINT(-122.391768 37.732795)
